,date,away,home,awaySpread,total
0,20180411,Toronto,Miami,-7,199.5
1,20180411,New York,Cleveland,-15.5,219
2,20180411,Milwaukee,Philadelphia,-5.5,o215
3,20180411,Denver,Minnesota,-3,213
4,20180411,Memphis,Oklahoma City,-17.5,o211
5,20180411,San Antonio,New Orleans,-3.5,211.5
6,20180411,Washington,Orlando,-4,203.5
7,20180411,Brooklyn,Boston,-3,207
8,20180411,Detroit,Chicago,-1.5,211.5
9,20180411,Utah,Portland,-3,200
10,20180411,Houston,Sacramento,-5.5,o205.5
11,20180411,L.A. Lakers,L.A. Clippers,-2.5,215.5
12,20180410,Charlotte,Indiana,-6.5,217.5
13,20180410,Philadelphia,Atlanta,-9.5,218.5
14,20180410,Boston,Washington,-6.5,206
15,20180410,Phoenix,Dallas,-4,215.5
16,20180410,Golden State,Utah,-7,212
17,20180410,Houston,L.A. Lakers,-9.5,221.5
18,20180409,Toronto,Detroit,-3.5,209.5
19,20180409,Cleveland,New York,-12,o223.5
20,20180409,Chicago,Brooklyn,-8.5,220.5
21,20180409,Oklahoma City,Miami,-2,213
22,20180409,Memphis,Minnesota,-15,212
23,20180409,Orlando,Milwaukee,-10,209
24,20180409,Sacramento,San Antonio,-13,198
25,20180409,Portland,Denver,-3.5,218
26,20180409,New Orleans,L.A. Clippers,-5.5,227.5
27,20180408,Dallas,Philadelphia,-13,215.5
28,20180408,Indiana,Charlotte,-2,213.5
29,20180408,Atlanta,Boston,-10,202
30,20180408,Detroit,Memphis,-5.5,203.5
31,20180408,Orlando,Toronto,-13,210.5
32,20180408,Utah,L.A. Lakers,-6,210
33,20180408,Golden State,Phoenix,-13.5,217
34,20180407,Denver,L.A. Clippers,-1,223
35,20180407,Milwaukee,New York,-9.5,219.5
36,20180407,Brooklyn,Chicago,-5,216
37,20180407,New Orleans,Golden State,-7,224
38,20180407,Oklahoma City,Houston,-6.5,219
39,20180407,Portland,San Antonio,-3.5,202.5
40,20180406,Charlotte,Orlando,-5.5,211.5
41,20180406,Dallas,Detroit,-7.5,205.5
42,20180406,Atlanta,Washington,-10.5,208.5
43,20180406,Cleveland,Philadelphia,-3.5,223
44,20180406,Chicago,Boston,-10,201
45,20180406,Indiana,Toronto,-7.5,208.5
46,20180406,Miami,New York,-9,209.5
47,20180406,Sacramento,Memphis,-4,198
48,20180406,New Orleans,Phoenix,-10,220
49,20180406,Minnesota,L.A. Lakers,-3.5,219
50,20180405,Golden State,Indiana,-1.5,212.5
51,20180405,Portland,Houston,-10,217
52,20180405,Washington,Cleveland,-5.5,220
53,20180405,Brooklyn,Milwaukee,-8,220.5
54,20180405,L.A. Clippers,Utah,-7,212
55,20180405,Minnesota,Denver,-5,226
56,20180404,Philadelphia,Detroit,-1,212
57,20180404,Dallas,Orlando,-1,203.5
58,20180404,Miami,Atlanta,-8.5,205
59,20180404,Boston,Toronto,-8,206
60,20180404,Memphis,New Orleans,-13,216.5
61,20180404,San Antonio,L.A. Lakers,-5.5,207
62,20180403,Brooklyn,Philadelphia,-9,223
63,20180403,Toronto,Cleveland,-1.5,223.5
64,20180403,Atlanta,Miami,-11.5,208.5
65,20180403,Orlando,New York,-1,211
66,20180403,Washington,Houston,-8,213
67,20180403,Boston,Milwaukee,-2,207.5
68,20180403,Golden State,Oklahoma City,-3.5,222.5
69,20180403,Charlotte,Chicago,-5.5,216.5
70,20180403,Portland,Dallas,-9,208
71,20180403,Indiana,Denver,-3.5,216.5
72,20180403,L.A. Lakers,Utah,-10.5,207.5
73,20180403,Sacramento,Phoenix,-1,211
74,20180403,San Antonio,L.A. Clippers,-1,209
75,20180401,Philadelphia,Charlotte,-2,217.5
76,20180401,Washington,Chicago,-8,210.5
77,20180401,Houston,San Antonio,-2,208.5
78,20180401,Indiana,L.A. Clippers,-2.5,216
79,20180401,Dallas,Cleveland,-11,217.5
80,20180401,Oklahoma City,New Orleans,-1,226
